Configuration,mean,median,max,all_values
<function Heuristic.greedy at 0x000001EDA69CAA60> 1,3127.0666666666666,2612.0,6412.0,"[[1500.0, 1640.0, 2232.0, 1784.0, 1540.0, 4896.0, 5748.0, 1472.0, 3264.0, 2528.0, 5716.0, 3344.0, 3340.0, 2984.0, 5596.0, 1932.0, 2132.0, 6412.0, 2512.0, 2516.0, 4524.0, 3364.0, 2220.0, 3176.0, 3584.0, 6032.0, 1432.0, 2696.0, 2176.0, 1520.0]]"
<function Heuristic.empty at 0x000001EDA6A9F280> 1,2671.866666666667,2478.0,6464.0,"[[3092.0, 3740.0, 2616.0, 3692.0, 1392.0, 1836.0, 3364.0, 2852.0, 3256.0, 6464.0, 5856.0, 1616.0, 3368.0, 1672.0, 1588.0, 3136.0, 792.0, 1732.0, 1500.0, 1328.0, 3460.0, 1260.0, 3496.0, 3800.0, 1632.0, 1804.0, 5348.0, 564.0, 2340.0, 1560.0]]"
<function Heuristic.uniform at 0x000001EDA6A9F310> 1,995.4666666666667,842.0,2220.0,"[[772.0, 800.0, 832.0, 1428.0, 784.0, 832.0, 628.0, 668.0, 648.0, 1432.0, 1012.0, 1444.0, 852.0, 1464.0, 684.0, 684.0, 944.0, 696.0, 1140.0, 764.0, 1088.0, 596.0, 1012.0, 288.0, 2220.0, 1124.0, 1048.0, 2164.0, 624.0, 1192.0]]"
<function Heuristic.monoton at 0x000001EDA6A9F3A0> 1,1275.7333333333333,1386.0,2688.0,"[[296.0, 296.0, 1644.0, 1748.0, 1948.0, 344.0, 404.0, 1412.0, 1188.0, 1508.0, 440.0, 1768.0, 1844.0, 700.0, 1360.0, 488.0, 1256.0, 1040.0, 704.0, 1072.0, 2688.0, 2512.0, 556.0, 1732.0, 1528.0, 1876.0, 1464.0, 2164.0, 1508.0, 784.0]]"
<heuristic.weighted_heuristic object at 0x000001EDA451A5E0> 1,4270.666666666667,3372.0,13128.0,"[[2788.0, 4364.0, 1668.0, 2864.0, 3316.0, 4432.0, 3120.0, 3428.0, 1724.0, 4424.0, 5968.0, 13128.0, 1540.0, 9452.0, 1328.0, 4656.0, 4180.0, 12248.0, 1484.0, 2596.0, 4980.0, 3128.0, 1268.0, 5552.0, 1892.0, 2500.0, 7256.0, 2600.0, 6464.0, 3772.0]]"
<function Heuristic.greedy at 0x000001EDA69CAA60> 2,11079.466666666667,11860.0,16224.0,"[[12292.0, 12736.0, 16224.0, 7220.0, 3192.0, 10360.0, 15432.0, 7248.0, 7128.0, 11516.0, 14412.0, 14452.0, 11640.0, 15444.0, 12320.0, 13128.0, 7408.0, 7120.0, 10672.0, 10064.0, 14436.0, 15964.0, 14352.0, 12164.0, 14368.0, 7220.0, 12080.0, 7076.0, 7236.0, 7480.0]]"
<function Heuristic.empty at 0x000001EDA6A9F280> 2,7651.066666666667,7180.0,14784.0,"[[6504.0, 7212.0, 10668.0, 5668.0, 11964.0, 14784.0, 7300.0, 12532.0, 3380.0, 7220.0, 6756.0, 7460.0, 7188.0, 12280.0, 14376.0, 7180.0, 5028.0, 11372.0, 6900.0, 7080.0, 3152.0, 7180.0, 7084.0, 6432.0, 3520.0, 7344.0, 7192.0, 7068.0, 4212.0, 3496.0]]"
<function Heuristic.uniform at 0x000001EDA6A9F310> 2,2674.5333333333333,2794.0,5656.0,"[[1336.0, 1976.0, 3020.0, 3388.0, 1852.0, 1300.0, 3200.0, 3272.0, 2304.0, 2956.0, 1496.0, 2752.0, 3016.0, 5036.0, 2432.0, 3264.0, 2036.0, 220.0, 2456.0, 2836.0, 2164.0, 3312.0, 4460.0, 5656.0, 3328.0, 3232.0, 1336.0, 2060.0, 3164.0, 1376.0]]"
<function Heuristic.monoton at 0x000001EDA6A9F3A0> 2,3149.4666666666667,2586.0,6192.0,"[[1820.0, 1508.0, 5572.0, 1124.0, 4212.0, 5724.0, 3196.0, 1776.0, 776.0, 4052.0, 2568.0, 2464.0, 3192.0, 3248.0, 1816.0, 2048.0, 4700.0, 1372.0, 5608.0, 2604.0, 2308.0, 4132.0, 5232.0, 2452.0, 3264.0, 2196.0, 5276.0, 2480.0, 1572.0, 6192.0]]"
<heuristic.weighted_heuristic object at 0x000001EDA451A5E0> 2,4042.0,3286.0,10104.0,"[[2720.0, 10104.0, 1028.0, 3084.0, 1620.0, 3676.0, 5920.0, 2988.0, 3452.0, 2632.0, 6840.0, 2452.0, 2468.0, 6772.0, 3120.0, 3576.0, 3960.0, 2556.0, 6068.0, 7180.0, 5212.0, 6956.0, 2064.0, 2424.0, 2448.0, 1236.0, 5268.0, 2552.0, 6136.0, 4748.0]]"
